X,Y,stntype,name,address1,address2,city,state,zipcode,Full_Address,Latitude,Longitude,code,stationnam
-7910487.982,5215999.833,TRAIN,North Station,135 Causeway Street,,Boston,MA,2114,North Station 135 Causeway Street  Boston MA 2114 ,42.3664424,-71.061974,BON,"Boston, MA"
-7909840.325,5213902.201,TRAIN,South Station,2 South Station,,Boston,MA,2110,South Station 2 South Station  Boston MA 2110 ,42.3519448,-71.0551625,BOS,"Boston, MA"
-8076952.424,5289298.352,TRAIN,,10 Vernon Road,,Brattleboro,VT,5301, 10 Vernon Road  Brattleboro VT 5301 ,42.8508077,-72.5565753,BRA,"Brattleboro, VT"
-10067854.5,3708692.164,TRAIN,,440 North Railroad Avenue,,Brookhaven,MS,39601, 440 North Railroad Avenue  Brookhaven MS 39601 ,31.583077,-90.4408892,BRH,"Brookhaven, MS"
-7788528.433,5451740.887,TRAIN,,16 Station Avenue,,Brunswick,ME,4011, 16 Station Avenue  Brunswick ME 4011 ,43.9113316,-69.9653355,BRK,"Brunswick, ME"
-10141423.54,4983738.604,TRAIN,,300 South Main Street,,Burlington,IA,52601, 300 South Main Street  Burlington IA 52601 ,40.8057135,-91.1017708,BRL,"Burlington, IA"
-12580567.91,6196170.077,TRAIN,,Heart Butte Road and Depot Road,,Browning,MT,59417, Heart Butte Road and Depot Road  Browning MT 59417 ,48.535493,-113.0123595,BRO,"Browning, MT"
-8147199.709,5038634.308,TRAIN,,525 Water Street,,Bridgeport,CT,6604, 525 Water Street  Bridgeport CT 6604 ,41.1778574,-73.1873474,BRP,"Bridgeport, CT"
-9483065.865,5208803.384,TRAIN,,119 McCamly Street South,,Battle Creek,MI,49017, 119 McCamly Street South  Battle Creek MI 49017 ,42.318371,-85.1877043,BTL,"Battle Creek, MI"
-8763803.589,5297830.868,TRAIN,Depew Station,55 Dick Road,,Depew,NY,14043,Depew Station 55 Dick Road  Depew NY 14043 ,42.9072488,-78.7270496,BUF,"Buffalo, NY"
-13175082.44,4054757.09,TRAIN,Hollywood Burbank Airport,3750 Empire Avenue,,Burbank,CA,91505,Hollywood Burbank Airport 3750 Empire Avenue  Burbank CA 91505 ,34.192895,-118.3534947,BUR,"Burbank, CA"
-8537570.668,4749264.483,TRAIN,,7 Amtrak Way,,Baltimore,MD,21240, 7 Amtrak Way  Baltimore MD 21240 ,39.1921035,-76.6946308,BWI,"BWI Marshall Airport, MD"
-9412263.744,5083450.03,TRAIN,,Paige and Lynn Street,,Bryan,OH,43506, Paige and Lynn Street  Bryan OH 43506 ,41.4805319,-84.5521501,BYN,"Bryan, OH"
-8975155.444,4062173.22,TRAIN,,1060 West Dekalb Street,,Camden,SC,29020, 1060 West Dekalb Street  Camden SC 29020 ,34.2481411,-80.6252552,CAM,"Camden, SC"
-10840552.57,3809308.638,TRAIN,,206 North Border Street,,Cleburne,TX,76031, 206 North Border Street  Cleburne TX 76031 ,32.3497312,-97.382173,CBR,"Cleburne, TX"
-9908839.011,5363962.085,TRAIN,,359 North Ludington Street,,Columbus,WI,53925, 359 North Ludington Street  Columbus WI 53925 ,43.3407013,-89.0125743,CBS,"Columbus, WI"
-9931550.249,4540543.367,TRAIN,,401 South Illinois Avenue,,Carbondale,IL,62901, 401 South Illinois Avenue  Carbondale IL 62901 ,37.7242054,-89.2162959,CDL,"Carbondale, IL"
-9922587.922,4654219.662,TRAIN,,110 South Oak St.,,Centralia,IL,62801, 110 South Oak St.  Centralia IL 62801 ,38.5274063,-89.1360798,CEN,"Centralia, IL"
-9755978.809,5142825.357,TRAIN,Union Station,225 South Canal Street,,Chicago,IL,60606,Union Station 225 South Canal Street  Chicago IL 60606 ,41.8786897,-87.640311,CHI,"Chicago, IL"
-9822984.571,4882791.669,TRAIN,,45 East University Avenue,,Champaign,IL,61820, 45 East University Avenue  Champaign IL 61820 ,40.1157434,-88.2412052,CHM,"Champaign-Urbana, IL"
